Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,100n/50V,C307331
"C11, C13",0402,2,10u/6.3V,C15525
C12,0805,1,47uF/6.3V,C16780
"C2, C3",CP_EIA-7361-38_AVX-V,2,330u/20V,
C22,0402,1,1u,C52923
C4,0402,1,4.7u/25V,C2858031
C5,0402,1,100n,C307331
"D1, D2, D4, D6, D7, D8, D9",SM5819L2TP,7,SM5819L2-TP,C6297199
D3,0402,1,LED,C74342 
D5,0402,1,LED,C130724
IC1,SON50P200X200X80-9N,1,DRV8231ADSGR,C5139865
IC2,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,NCP730BMT500TBG,C892822
"J1, J20, J21, J5, J8, J9",TestPoint_Pad_1.0x1.0mm,6,Conn_01x01,
J10,Solder 2.0 x 0.8,1,Motor A,
J11,Solder 2.0 x 0.8,1,Motor B,
"J12, J14",Solder 0.8 x 0.8,2,Vtrk,
J13,Solder 0.8 x 0.8,1,AUX4.od,
J15,Solder 0.8 x 0.8,1,AUX3.od,
J16,Solder 0.8 x 0.8,1,Aux1,
J17,Solder 0.8 x 0.8,1,Aux2,
"J18, J19",Solder 0.8 x 0.8,2,Conn_01x01,
"J2, J3, J4, J6",TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,4,Conn_01x01,
J7,Solder 0.8 x 0.8,1,UDPI,
Q1,SOT-666,1,BC857BDW1,C282521
Q2,SOT-666,1,BC847BDW1,C455062
"Q3, Q4",PMZB200UNEYL,2,PMZB200UNEYL,C547292
R1,0402,1,1k,C11702
"R10, R12, R21, R5, R6",0402,5,33k,C25779
"R11, R13",0402,2,12k,C25752
"R15, R18, R19, R20",0402,4,10k,C25744
"R2, R24, R25, R4",0402,4,2.2k,C25879
"R22, R23",0402,2,3.3k,C25890
R3,0402,1,22,C25092
"R34, R35, R9",0402,3,220k,C25767
"R36, R37",0402,2,9.1k,C25926
R7,0603,1,1,C22936
R8,0402,1,68,C25076
U1,VQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,1,AVR-64DA32,C3225673
